"id";"ts";"v_ms";"h_m";"A_m3";"Q_m3s"
77;"2021-08-16 14:08:10";5,60898;1,112;6,68348;37,48749
78;"2021-08-16 14:08:10.5";5,51559;1,126;6,80598;37,539
79;"2021-08-16 14:08:11";5,25478;1,129;6,83223;35,90185
80;"2021-08-16 14:08:11.5";5,10256;1,122;6,77098;34,54936
81;"2021-08-16 14:08:12";5,24624;1,074;6,35098;33,3188
82;"2021-08-16 14:08:12.5";5,43217;1,043;6,08113;33,0337
83;"2021-08-16 14:08:13";5,4417;1,134;6,87598;37,41701
84;"2021-08-16 14:08:13.5";5,41663;1,086;6,45598;34,96967
85;"2021-08-16 14:08:14";5,42298;1,146;6,98098;37,85774
86;"2021-08-16 14:08:14.5";5,38032;1,168;7,17348;38,59563
87;"2021-08-16 14:08:15";5,28367;1,115;6,70973;35,45198
88;"2021-08-16 14:08:15.5";5,16309;1,094;6,52598;33,69422
89;"2021-08-16 14:08:16";5,1067;1,099;6,56973;33,54965
90;"2021-08-16 14:08:16.5";5,05931;1,113;6,69223;33,85806
91;"2021-08-16 14:08:17";5,02235;1,116;6,71848;33,74258
92;"2021-08-16 14:08:17.5";4,96055;1,137;6,90223;34,23887
93;"2021-08-16 14:08:18";4,90461;1,13;6,84098;33,55234
94;"2021-08-16 14:08:18.5";4,86226;1,043;6,08113;29,56802
95;"2021-08-16 14:08:19";4,87047;1,106;6,63098;32,29602
96;"2021-08-16 14:08:19.5";4,93255;1,054;6,17647;30,46571
97;"2021-08-16 14:08:20";4,97196;1,083;6,42973;31,96838
98;"2021-08-16 14:08:20.5";4,83979;1,025;5,92614;28,68126
99;"2021-08-16 14:08:21";4,6157;1,028;5,95188;27,47209
100;"2021-08-16 14:08:21.5";4,54922;1,026;5,93472;26,99833
101;"2021-08-16 14:08:22";4,74388;1,018;5,86621;27,82862
102;"2021-08-16 14:08:22.5";4,92338;1,012;5,815;28,62944
103;"2021-08-16 14:08:23";4,88466;1,021;5,89187;28,77978
104;"2021-08-16 14:08:23.5";4,84556;1,044;6,08978;29,50836
105;"2021-08-16 14:08:24";4,90832;1,048;6,12441;30,06057
106;"2021-08-16 14:08:24.5";4,96562;1,052;6,1591;30,58374
107;"2021-08-16 14:08:25";4,93783;1,048;6,12441;30,24128
108;"2021-08-16 14:08:25.5";4,87954;1,031;5,97766;29,16821
109;"2021-08-16 14:08:26";4,84543;1,029;5,96047;28,88105
110;"2021-08-16 14:08:26.5";4,78972;1,028;5,95188;28,50787
111;"2021-08-16 14:08:27";4,73503;1,005;5,75543;27,25212
112;"2021-08-16 14:08:27.5";4,69966;0,997;5,68759;26,72973
113;"2021-08-16 14:08:28";4,70282;1,002;5,72996;26,94694
114;"2021-08-16 14:08:28.5";4,67802;1,015;5,84058;27,3224
115;"2021-08-16 14:08:29";4,61153;1,022;5,90043;27,21002
116;"2021-08-16 14:08:29.5";4,49924;1,007;5,77243;25,97153
117;"2021-08-16 14:08:30";4,4259;0,984;5,5779;24,68719
118;"2021-08-16 14:08:30.5";4,419;0,96;5,37719;23,76181
119;"2021-08-16 14:08:31";4,48543;0,942;5,22821;23,45075
120;"2021-08-16 14:08:31.5";4,56852;0,966;5,42715;24,79405
121;"2021-08-16 14:08:32";4,57433;0,987;5,60315;25,63064
122;"2021-08-16 14:08:32.5";4,46182;0,995;5,67067;25,30148
123;"2021-08-16 14:08:33";4,32207;1,021;5,89187;25,46505
124;"2021-08-16 14:08:33.5";4,28649;1,03;5,96906;25,58631
125;"2021-08-16 14:08:34";4,39403;1,038;6,03795;26,53093
126;"2021-08-16 14:08:34.5";4,45191;1,079;6,39473;28,46874
127;"2021-08-16 14:08:35";4,36967;1,047;6,11574;26,72375
128;"2021-08-16 14:08:35.5";4,29369;1,049;6,13307;26,33349
129;"2021-08-16 14:08:36";4,30537;1,015;5,84058;25,14587
130;"2021-08-16 14:08:36.5";4,25489;1,002;5,72996;24,38033
131;"2021-08-16 14:08:37";4,14785;0,991;5,63688;23,38093
132;"2021-08-16 14:08:37.5";4,13223;0,995;5,67067;23,43248
133;"2021-08-16 14:08:38";4,24376;0,992;5,64532;23,95736
134;"2021-08-16 14:08:38.5";4,30717;0,985;5,58631;24,06119
135;"2021-08-16 14:08:39";4,23629;0,98;5,54428;23,48719
136;"2021-08-16 14:08:39.5";4,17651;0,977;5,51912;23,05066
137;"2021-08-16 14:08:40";4,21617;0,966;5,42715;22,88177
138;"2021-08-16 14:08:40.5";4,28368;0,97;5,46053;23,3912
139;"2021-08-16 14:08:41";4,30262;0,978;5,5275;23,78274
140;"2021-08-16 14:08:41.5";4,28275;0,978;5,5275;23,67291
141;"2021-08-16 14:08:42";4,2326;0,976;5,51074;23,32472
142;"2021-08-16 14:08:42.5";4,11762;0,977;5,51912;22,72563
143;"2021-08-16 14:08:43";3,9987;0,976;5,51074;22,03576
144;"2021-08-16 14:08:43.5";3,86153;0,965;5,41881;20,92488
145;"2021-08-16 14:08:44";3,79798;0,961;5,38551;20,45403
146;"2021-08-16 14:08:44.5";3,80587;0,972;5,47725;20,84572
147;"2021-08-16 14:08:45";3,86753;0,964;5,41048;20,92517
148;"2021-08-16 14:08:45.5";3,92415;0,969;5,45218;21,39515
149;"2021-08-16 14:08:46";3,90849;0,959;5,36888;20,9842
150;"2021-08-16 14:08:46.5";3,81157;0,948;5,27772;20,11638
151;"2021-08-16 14:08:47";3,72503;0,942;5,22821;19,47523
152;"2021-08-16 14:08:47.5";3,75844;0,938;5,19528;19,52617
153;"2021-08-16 14:08:48";3,90165;0,936;5,17885;20,20606
154;"2021-08-16 14:08:48.5";4,01677;0,935;5,17063;20,76922
155;"2021-08-16 14:08:49";3,99335;0,926;5,09691;20,35371
156;"2021-08-16 14:08:49.5";3,9454;0,913;4,99101;19,69155
157;"2021-08-16 14:08:50";3,92009;0,908;4,95047;19,40632
